,Word,Count_Romeo,Count_Moby,Count_Gatsby,Count_Hamlet
450,means,0.0,0.0,0.0,20.0
451,fortinbras,0.0,0.0,0.0,19.0
452,players,0.0,0.0,0.0,19.0
453,believe,0.0,0.0,0.0,19.0
454,done,0.0,0.0,0.0,19.0
455,follow,0.0,0.0,0.0,19.0
456,words,0.0,0.0,0.0,19.0
457,player,0.0,0.0,0.0,19.0
458,father’s,0.0,0.0,0.0,18.0
459,there’s,0.0,0.0,0.0,18.0
460,mad,0.0,0.0,0.0,18.0
461,reynaldo,0.0,0.0,0.0,17.0
462,thoughts,0.0,0.0,0.0,17.0
463,noble,0.0,0.0,0.0,17.0
464,ear,0.0,0.0,0.0,17.0
465,th’,0.0,0.0,0.0,17.0
466,cause,0.0,0.0,0.0,17.0
467,welcome,0.0,0.0,0.0,16.0
468,question,0.0,0.0,0.0,16.0
469,is’t,0.0,0.0,0.0,16.0
470,youth,0.0,0.0,0.0,16.0
471,sword,0.0,0.0,0.0,16.0
472,england,0.0,0.0,0.0,16.0
473,state,0.0,0.0,0.0,15.0
474,gentleman,0.0,0.0,0.0,15.0
475,majesty,0.0,0.0,0.0,15.0
476,drink,0.0,0.0,0.0,15.0
477,answer,0.0,0.0,0.0,14.0
478,yourself,0.0,0.0,0.0,14.0
479,mark,0.0,0.0,0.0,14.0
480,spirit,0.0,0.0,0.0,14.0
481,tongue,0.0,0.0,0.0,14.0
482,speech,0.0,0.0,0.0,14.0
483,haste,0.0,0.0,0.0,13.0
484,you?,0.0,0.0,0.0,13.0
485,form,0.0,0.0,0.0,13.0
486,goes,0.0,0.0,0.0,13.0
487,grace,0.0,0.0,0.0,13.0
488,grief,0.0,0.0,0.0,13.0
489,sense,0.0,0.0,0.0,13.0
490,we’ll,0.0,0.0,0.0,13.0
491,sent,0.0,0.0,0.0,13.0
492,ii,0.0,0.0,0.0,12.0
493,e’en,0.0,0.0,0.0,12.0
494,oft,0.0,0.0,0.0,12.0
495,ourselves,0.0,0.0,0.0,12.0
